source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
SATS_12.10_105call2025-12-26.txt,2025-12-11,01:31:37,SATS,ASK,105,call,2025-12-26,16d,$99.93,$3.20 - $3.50,$3.50,300,$105K,303,27,11.22,99%,"11,622",66.39,0.3874,-0.1663,0.0276,0.0801,0.0154,3.50,Technology,Communication Equipment,78,Floor Trade Large Cap,105 call 2025-12-26
SATS_12.10_105call2025-12-26.txt,2025-12-10,23:50:43,SATS,ASK,130,call,2028-01-21,772d,$99.42,$24.30 - $25.40,$24.87,20,$50K,33,0,-,100%,"1,101",59.29,0.5505,-0.0222,0.0046,0.5722,0.6316,24.87,Technology,Communication Equipment,78,,130 call 2028-01-21
SATS_12.10_105call2025-12-26.txt,2025-12-10,23:18:11,SATS,BID,95,call,2026-02-20,72d,$97.68,$12.40 - $12.80,$12.40,100,$124K,139,20,6.95,99%,"5,955",64.61,0.5955,-0.0757,0.0138,0.1681,0.0903,12.40,Technology,Communication Equipment,78,,95 call 2026-02-20
SATS_12.10_105call2025-12-26.txt,2025-12-10,22:50:49,SATS,ASK,135,call,2028-01-21,772d,$99.00,$20.00 - $22.70,$22.80,23,$52K,26,6,4.33,100%,"1,206",58.01,0.5244,-0.0218,0.0048,0.5733,0.6159,22.80,Technology,Communication Equipment,78,Repeated Hits Descending Fill,135 call 2028-01-21
SATS_12.10_105call2025-12-26.txt,2025-12-10,04:52:24,SATS,ASK,80,call,2026-07-17,219d,$92.98,$23.20 - $26.20,$26.20,20,$52K,20,1,20.00,100%,"1,419",71.75,0.7093,-0.0406,0.0066,0.2474,0.2396,26.20,Technology,Communication Equipment,78,,80 call 2026-07-17
SATS_12.10_105call2025-12-26.txt,2025-12-10,04:46:48,SATS,ASK,100,put,2027-01-15,401d,$95.37,$22.50 - $23.70,$23.70,14,$33K,19,0,-,100%,-589,53.27,-0.4206,-0.0254,0.0073,0.3914,-0.7029,23.70,Technology,Communication Equipment,78,Repeated Hits,100 put 2027-01-15
SATS_12.10_105call2025-12-26.txt,2025-12-10,04:41:11,SATS,BID,105,call,2026-01-09,30d,$95.87,$5.00 - $5.20,$5.00,282,$141K,282,12,23.50,100%,"10,763",75.72,0.3817,-0.1303,0.018,0.1065,0.0268,5.00,Technology,Communication Equipment,78,,105 call 2026-01-09
SATS_12.10_105call2025-12-26.txt,2025-12-10,04:36:45,SATS,ASK,135,put,2026-01-16,37d,$92.09,$42.60 - $43.00,$43.00,63,$271K,63,0,-,100%,"-6,170",55.59,-0.9794,-0.0101,0.003,0.0147,-0.1387,43.00,Technology,Communication Equipment,78,,135 put 2026-01-16
SATS_12.10_105call2025-12-26.txt,2025-12-10,02:31:03,SATS,ASK,100,call,2026-01-02,23d,$90.28,$1.60 - $1.75,$1.75,199,$35K,200,110,1.82,100%,"5,000",53.87,0.2512,-0.0828,0.0255,0.0738,0.0138,1.75,Technology,Communication Equipment,78,,100 call 2026-01-02
SATS_12.10_105call2025-12-26.txt,2025-12-09,23:53:15,SATS,ASK,85,put,2025-12-19,9d,$87.01,$2.25 - $2.55,$2.55,900,$230K,900,246,3.66,100%,"-34,987",61.05,-0.3887,-0.1684,0.0436,0.0552,-0.01,2.55,Technology,Communication Equipment,78,,85 put 2025-12-19
SATS_12.10_105call2025-12-26.txt,2025-12-09,04:35:26,SATS,ASK,85,put,2025-12-19,9d,$86.95,$2.45 - $2.75,$2.69,200,$54K,269,71,3.79,82%,"-7,878",60.16,-0.3939,-0.1587,0.0424,0.0581,-0.0111,2.69,Technology,Communication Equipment,78,,85 put 2025-12-19
SATS_12.10_105call2025-12-26.txt,2025-12-09,01:41:20,SATS,ASK,85,put,2026-01-16,37d,$88.00,$4.40 - $4.60,$4.55,750,$341K,786,173,4.54,100%,"-28,981",52.71,-0.3864,-0.0742,0.0252,0.1101,-0.0412,4.55,Technology,Communication Equipment,78,,85 put 2026-01-16
SATS_12.10_105call2025-12-26.txt,2025-12-08,23:29:20,SATS,ASK,100,call,2026-12-18,373d,$86.78,$14.50 - $16.00,$16.00,50,$80K,50,4,12.50,100%,"2,632",58.93,0.5264,-0.0277,0.0077,0.3501,0.3049,16.00,Technology,Communication Equipment,78,,100 call 2026-12-18
SATS_12.10_105call2025-12-26.txt,2025-12-08,22:34:58,SATS,BID,80,call,2025-12-26,16d,$88.74,$10.70 - $12.60,$10.70,31,$33K,31,20,1.55,100%,"2,396",69.65,0.7729,-0.1152,0.022,0.0594,0.0285,10.70,Technology,Communication Equipment,78,,80 call 2025-12-26
SATS_12.10_105call2025-12-26.txt,2025-12-06,04:51:18,SATS,BID,9,call,2026-01-16,37d,$84.54,$76.90 - $77.50,$76.90,29,$223K,47,0,-,100%,"2,859",478.07,0.9858,-0.0589,0.0003,0.0103,0.0074,76.90,Technology,Communication Equipment,78,,9 call 2026-01-16
SATS_12.10_105call2025-12-26.txt,2025-12-06,04:51:18,SATS,BID,9,call,2026-01-16,37d,$84.54,$76.90 - $77.50,$76.90,18,$138K,18,0,-,100%,"1,774",478.07,0.9858,-0.0589,0.0003,0.0103,0.0074,76.90,Technology,Communication Equipment,78,,9 call 2026-01-16
SATS_12.10_105call2025-12-26.txt,2025-12-06,04:51:18,SATS,ASK,38,call,2026-01-16,37d,$84.54,$44.60 - $48.50,$48.50,48,$233K,48,35,1.37,100%,"4,506",193.92,0.9388,-0.0803,0.0022,0.0347,0.0355,48.50,Technology,Communication Equipment,78,,38 call 2026-01-16
