source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
WBD_12.10_30call2026-02-20.txt,2025-12-10,22:34:29,WBD,ASK,30,call,2026-02-20,72d,$29.07,$0.98 - $1.20,$1.10,"9,265",$1.02M,"12,276","3,577",3.43,94%,"397,750",29.02,0.4293,-0.0103,0.1048,0.0507,0.0224,1.10,Communication Services,Entertainment,78,Sweeps Followed By Floor,30 call 2026-02-20
WBD_12.10_30call2026-02-20.txt,2025-12-09,23:50:00,WBD,BID,27,put,2026-01-16,37d,$27.61,$0.48 - $0.62,$0.51,"1,250",$64K,"1,741",381,4.57,81%,"-45,445",22.13,-0.3636,-0.0097,0.1904,0.0334,-0.011,0.51,Communication Services,Entertainment,78,,27 put 2026-01-16
WBD_12.10_30call2026-02-20.txt,2025-12-08,23:51:52,WBD,ASK,28,put,2026-02-20,72d,$27.52,$0.58 - $1.10,$1.10,300,$33K,457,0,-,92%,"-17,217",16.90,-0.5739,-0.0055,0.1873,0.0486,-0.0342,1.10,Communication Services,Entertainment,78,,28 put 2026-02-20
WBD_12.10_30call2026-02-20.txt,2025-12-08,23:45:58,WBD,ASK,29,put,2025-12-19,9d,$27.75,$1.00 - $1.55,$1.33,700,$93K,707,9,78.56,99%,"-60,347",22.95,-0.8621,-0.011,0.1993,0.0106,-0.0076,1.33,Communication Services,Entertainment,78,,29 put 2025-12-19
WBD_12.10_30call2026-02-20.txt,2025-12-08,23:35:44,WBD,BID,24.5,call,2026-01-02,23d,$27.62,$3.00 - $3.70,$3.33,100,$33K,102,61,1.67,99%,"8,695",42.85,0.8695,-0.0132,0.0685,0.0153,0.0142,3.33,Communication Services,Entertainment,78,,24.5 call 2026-01-02
WBD_12.10_30call2026-02-20.txt,2025-12-06,01:41:18,WBD,ASK,25,put,2026-01-16,37d,$25.06,$0.58 - $0.65,$0.65,"1,000",$65K,"1,630",293,5.56,95%,"-47,222",20.08,-0.4722,-0.008,0.2332,0.0338,-0.0144,0.65,Communication Services,Entertainment,78,,25 put 2026-01-16
WBD_12.10_30call2026-02-20.txt,2025-12-06,01:24:06,WBD,ASK,25,put,2026-01-16,37d,$25.07,$0.59 - $0.65,$0.65,499,$32K,625,293,2.13,88%,"-23,369",20.32,-0.4683,-0.0081,0.2301,0.0338,-0.0143,0.65,Communication Services,Entertainment,78,,25 put 2026-01-16
WBD_12.10_30call2026-02-20.txt,2025-12-06,00:16:14,WBD,ASK,26,put,2025-12-12,2d,$25.52,$0.40 - $0.80,$0.69,980,$68K,981,0,-,100%,"-66,398",28.27,-0.6775,-0.0255,0.3591,0.0127,-0.0034,0.69,Communication Services,Entertainment,78,,26 put 2025-12-12
WBD_12.10_30call2026-02-20.txt,2025-12-06,00:00:46,WBD,ASK,23,put,2026-03-20,100d,$25.41,$0.21 - $0.25,$0.25,"2,500",$63K,"3,176","1,242",2.56,81%,"-40,904",20.15,-0.1636,-0.0032,0.0899,0.0336,-0.0127,0.25,Communication Services,Entertainment,78,,23 put 2026-03-20
WBD_12.10_30call2026-02-20.txt,2025-12-05,03:34:19,WBD,ASK,23.5,call,2025-12-19,9d,$24.22,$1.08 - $1.40,$1.40,"25,000",$3.5M,"25,004",853,29.31,100%,"1,580,610",51.93,0.6322,-0.0321,0.1478,0.0185,0.0057,1.40,Communication Services,Entertainment,78,,23.5 call 2025-12-19
