source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
FDX_12.16_285call2026-01-23.txt,2025-12-16,23:34:42,FDX,ASK,285,call,2026-01-23,38d,$283.37,$9.70 - $13.05,$13.10,136,$178K,164,10,16.40,100%,"6,887",37.95,0.5064,-0.1828,0.0115,0.3647,0.1358,13.10,Industrials,Integrated Freight & Logistics,2,,285 call 2026-01-23
FDX_12.16_285call2026-01-23.txt,2025-12-16,23:02:31,FDX,ASK,297.5,call,2025-12-19,3d,$281.58,$3.20 - $4.25,$3.73,90,$34K,90,70,1.29,100%,"2,426",92.46,0.2696,-1.2999,0.014,0.0843,0.0059,3.73,Industrials,Integrated Freight & Logistics,2,,297.5 call 2025-12-19
FDX_12.16_285call2026-01-23.txt,2025-12-16,03:29:26,FDX,BID,240,call,2026-01-30,45d,$281.07,$43.95 - $45.65,$43.95,10,$44K,10,0,-,100%,873,41.79,0.873,-0.0955,0.005,0.2077,0.2538,43.95,Industrials,Integrated Freight & Logistics,2,,240 call 2026-01-30
FDX_12.16_285call2026-01-23.txt,2025-12-16,01:18:24,FDX,BID,257.5,call,2025-12-19,3d,$279.77,$24.15 - $26.05,$24.49,23,$56K,32,1,32.00,84%,"1,925",84.42,0.8372,-0.7613,0.01,0.0721,0.023,24.49,Industrials,Integrated Freight & Logistics,2,,257.5 call 2025-12-19
FDX_12.16_285call2026-01-23.txt,2025-12-16,00:51:12,FDX,ASK,280,put,2026-05-15,150d,$280.05,$20.00 - $21.10,$21.00,15,$32K,15,4,3.75,100%,-690,29.48,-0.4601,-0.0689,0.0075,0.715,-0.6199,21.00,Industrials,Integrated Freight & Logistics,2,,280 put 2026-05-15
FDX_12.16_285call2026-01-23.txt,2025-12-15,23:40:43,FDX,BID,290,put,2026-01-09,24d,$280.70,$16.30 - $16.45,$16.30,25,$41K,25,0,-,100%,"-1,532",37.10,-0.6127,-0.2081,0.014,0.2813,-0.129,16.30,Industrials,Integrated Freight & Logistics,2,,290 put 2026-01-09
FDX_12.16_285call2026-01-23.txt,2025-12-12,01:58:25,FDX,ASK,125,call,2028-01-21,766d,$287.51,$162.00 - $165.50,$163.86,2,$33K,2,1,2.00,100%,197,28.51,0.9872,-0.0035,0.0003,0.1383,2.534,163.86,Industrials,Integrated Freight & Logistics,2,,125 call 2028-01-21
FDX_12.16_285call2026-01-23.txt,2025-12-11,23:29:32,FDX,BID,285,put,2025-12-26,10d,$287.22,$10.00 - $10.75,$10.36,100,$104K,111,69,1.61,99%,"-4,491",49.47,-0.4491,-0.3795,0.0137,0.2304,-0.0573,10.36,Industrials,Integrated Freight & Logistics,2,,285 put 2025-12-26
FDX_12.16_285call2026-01-23.txt,2025-12-11,23:29:32,FDX,ASK,285,put,2025-12-19,3d,$287.22,$9.40 - $10.20,$9.81,100,$98K,115,80,1.44,97%,"-4,486",64.46,-0.4486,-0.6772,0.0144,0.1682,-0.0304,9.81,Industrials,Integrated Freight & Logistics,2,,285 put 2025-12-19
FDX_12.16_285call2026-01-23.txt,2025-12-11,04:40:50,FDX,ASK,310,put,2026-06-18,184d,$284.51,$38.75 - $38.80,$38.80,37,$144K,37,1,37.00,100%,"-2,298",28.43,-0.6212,-0.0568,0.0065,0.7808,-1.1219,38.80,Industrials,Integrated Freight & Logistics,2,,310 put 2026-06-18
FDX_12.16_285call2026-01-23.txt,2025-12-11,03:40:26,FDX,BID,277.5,call,2025-12-26,10d,$282.04,$13.00 - $13.75,$13.27,28,$37K,31,1,31.00,100%,"1,640",46.41,0.5856,-0.3343,0.0142,0.2301,0.0666,13.27,Industrials,Integrated Freight & Logistics,2,,277.5 call 2025-12-26
FDX_12.16_285call2026-01-23.txt,2025-12-10,04:16:23,FDX,BID,280,call,2026-07-17,213d,$275.50,$25.70 - $27.55,$26.49,27,$72K,27,17,1.59,100%,"1,428",33.20,0.5289,-0.0651,0.0056,0.851,0.7187,26.49,Industrials,Integrated Freight & Logistics,2,,280 call 2026-07-17
FDX_12.16_285call2026-01-23.txt,2025-12-10,03:34:08,FDX,BID,310,put,2028-01-21,766d,$275.24,$64.40 - $65.50,$64.40,25,$161K,25,0,-,100%,"-1,333",27.42,-0.5334,-0.0266,0.0036,1.5923,-4.473,64.40,Industrials,Integrated Freight & Logistics,2,,310 put 2028-01-21
FDX_12.16_285call2026-01-23.txt,2025-12-10,01:16:35,FDX,BID,330,call,2026-07-17,213d,$275.90,$9.15 - $10.85,$9.75,60,$59K,60,0,-,100%,"1,617",31.08,0.2695,-0.0505,0.005,0.7075,0.3894,9.75,Industrials,Integrated Freight & Logistics,2,,330 call 2026-07-17
FDX_12.16_285call2026-01-23.txt,2025-12-10,00:40:21,FDX,BID,180,put,2028-01-21,766d,$276.03,$9.95 - $11.60,$10.74,55,$59K,100,4,25.00,75%,-703,33.31,-0.1279,-0.0177,0.0016,0.84,-0.9749,10.74,Industrials,Integrated Freight & Logistics,2,,180 put 2028-01-21
FDX_12.16_285call2026-01-23.txt,2025-12-08,23:34:05,FDX,ASK,160,call,2026-04-17,122d,$278.69,$117.50 - $121.05,$120.29,4,$48K,5,0,-,100%,386,56.69,0.965,-0.0289,0.0008,0.1286,0.5294,120.29,Industrials,Integrated Freight & Logistics,2,,160 call 2026-04-17
