source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
LNG_12.16_190call2026-01-16.txt,2025-12-17,03:51:09,LNG,ASK,190,call,2026-01-16,31d,$188.94,$5.30 - $5.70,$5.60,500,$280K,584,346,1.69,89%,"24,465",27.70,0.4893,-0.0986,0.0261,0.2196,0.0738,5.60,Energy,Oil & Gas,65,Floor Trade Large Cap,190 call 2026-01-16
LNG_12.16_190call2026-01-16.txt,2025-12-17,03:12:03,LNG,ASK,190,call,2026-06-18,184d,$189.53,$15.00 - $17.30,$17.10,30,$51K,30,28,1.07,100%,"1,630",32.09,0.5435,-0.0472,0.0092,0.5337,0.4331,17.10,Energy,Oil & Gas,65,,190 call 2026-06-18
LNG_12.16_190call2026-01-16.txt,2025-12-16,04:41:45,LNG,BID,240,put,2026-01-16,31d,$188.21,$50.20 - $52.70,$50.20,270,$1.36M,270,44,6.14,100%,"-24,979",53.96,-0.9252,-0.0652,0.0047,0.0788,-0.1989,52.70,Energy,Oil & Gas,65,,240 put 2026-01-16
LNG_12.16_190call2026-01-16.txt,2025-12-16,04:41:45,LNG,BID,230,put,2026-01-16,31d,$188.21,$40.20 - $42.70,$40.20,270,$1.09M,270,114,2.37,100%,"-24,736",46.71,-0.9161,-0.0615,0.0059,0.0858,-0.1886,42.70,Energy,Oil & Gas,65,,230 put 2026-01-16
LNG_12.16_190call2026-01-16.txt,2025-12-16,04:22:09,LNG,BID,165,put,2026-03-20,94d,$188.25,$2.50 - $3.10,$2.75,"3,070",$844K,"3,073",126,24.39,100%,"-52,056",29.46,-0.1696,-0.0374,0.0089,0.2426,-0.0902,2.75,Energy,Oil & Gas,65,,165 put 2026-03-20
LNG_12.16_190call2026-01-16.txt,2025-12-16,01:18:40,LNG,BID,115,call,2028-01-21,766d,$187.23,$82.00 - $84.00,$82.00,5,$41K,5,0,-,100%,436,40.03,0.8729,-0.0154,0.0019,0.5652,1.7111,82.00,Energy,Oil & Gas,65,,115 call 2028-01-21
LNG_12.16_190call2026-01-16.txt,2025-12-15,23:09:22,LNG,BID,130,call,2028-01-21,766d,$186.87,$69.80 - $72.50,$71.00,8,$57K,8,1,8.00,100%,660,39.09,0.8249,-0.0184,0.0024,0.6986,1.7471,71.00,Energy,Oil & Gas,65,,130 call 2028-01-21
LNG_12.16_190call2026-01-16.txt,2025-12-13,04:02:55,LNG,ASK,240,put,2026-01-16,31d,$189.91,$48.20 - $50.50,$50.50,500,$2.53M,500,269,1.86,100%,"-47,708",43.08,-0.9542,-0.0335,0.0038,0.0566,-0.2222,50.50,Energy,Oil & Gas,65,,240 put 2026-01-16
LNG_12.16_190call2026-01-16.txt,2025-12-12,22:32:20,LNG,ASK,185,put,2027-01-15,395d,$192.57,$16.40 - $16.80,$16.80,87,$146K,87,26,3.35,100%,"-3,343",26.30,-0.3842,-0.0247,0.0072,0.7691,-0.9924,16.80,Energy,Oil & Gas,65,Repeated Hits,185 put 2027-01-15
LNG_12.16_190call2026-01-16.txt,2025-12-12,03:49:25,LNG,ASK,240,put,2026-01-16,31d,$192.59,$46.10 - $49.40,$47.90,"1,901",$9.11M,"1,901",292,6.51,100%,"-180,012",41.64,-0.9469,-0.0366,0.0043,0.0654,-0.2271,47.90,Energy,Oil & Gas,65,,240 put 2026-01-16
LNG_12.16_190call2026-01-16.txt,2025-12-12,00:18:45,LNG,ASK,210,put,2026-01-09,24d,$191.59,$17.00 - $20.10,$18.78,44,$83K,48,0,-,100%,"-4,071",22.09,-0.9252,-0.0284,0.0118,0.0763,-0.1558,18.78,Energy,Oil & Gas,65,,210 put 2026-01-09
LNG_12.16_190call2026-01-16.txt,2025-12-11,04:29:31,LNG,BID,240,call,2028-01-21,766d,$192.26,$20.00 - $22.00,$20.00,30,$60K,36,12,3.00,92%,"1,212",31.47,0.4041,-0.0225,0.0044,1.0831,1.2203,20.00,Energy,Oil & Gas,65,,240 call 2028-01-21
LNG_12.16_190call2026-01-16.txt,2025-12-11,04:26:50,LNG,BID,175,put,2026-01-16,31d,$192.36,$0.95 - $1.90,$1.30,752,$98K,988,199,4.96,80%,"-10,486",28.70,-0.1394,-0.0526,0.0126,0.1359,-0.0285,1.30,Energy,Oil & Gas,65,,175 put 2026-01-16
LNG_12.16_190call2026-01-16.txt,2025-12-10,00:23:06,LNG,BID,185,put,2026-01-16,31d,$201.30,$1.40 - $1.65,$1.42,"3,062",$435K,"3,068",191,16.06,100%,"-46,526",26.63,-0.1519,-0.0533,0.0136,0.1527,-0.0333,1.42,Energy,Oil & Gas,65,,185 put 2026-01-16
