source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
TGT_12.16_99call2026-01-09.txt,2025-12-16,22:34:13,TGT,ASK,99,call,2026-01-09,24d,$98.42,$2.20 - $3.40,$2.99,338,$101K,371,104,3.57,100%,"16,517",32.38,0.4887,-0.068,0.0488,0.1006,0.0297,2.99,Consumer Defensive,Discount Stores,77,Repeated Hits Ascending Fill,99 call 2026-01-09
TGT_12.16_99call2026-01-09.txt,2025-12-16,03:31:33,TGT,BID,125,put,2026-01-16,31d,$97.64,$26.50 - $29.10,$27.75,500,$1.39M,500,103,4.85,100%,"-46,708",52.58,-0.9342,-0.0298,0.0084,0.037,-0.1043,27.75,Consumer Defensive,Discount Stores,77,,125 put 2026-01-16
TGT_12.16_99call2026-01-09.txt,2025-12-16,03:31:33,TGT,ASK,150,put,2025-12-19,3d,$97.64,$51.50 - $54.35,$53.00,"1,000",$5.3M,"1,000",204,4.90,100%,"-93,593",248.33,-0.9359,-0.3973,0.0049,0.0128,-0.0158,53.00,Consumer Defensive,Discount Stores,77,,150 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-16,03:31:33,TGT,ASK,135,put,2025-12-19,3d,$97.64,$36.85 - $39.35,$38.20,350,$1.34M,350,85,4.12,100%,"-31,824",213.71,-0.9093,-0.4457,0.0075,0.0167,-0.0139,38.20,Consumer Defensive,Discount Stores,77,,135 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-16,03:31:33,TGT,ASK,120,put,2025-12-19,3d,$97.64,$21.60 - $24.15,$22.95,175,$402K,175,42,4.17,100%,"-15,868",141.22,-0.9067,-0.3005,0.0116,0.017,-0.0122,22.95,Consumer Defensive,Discount Stores,77,,120 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-16,00:05:43,TGT,ASK,84,call,2025-12-19,3d,$97.00,$11.85 - $13.25,$13.08,97,$127K,97,14,6.93,100%,"9,436",72.89,0.9728,-0.0582,0.0085,0.0064,0.0089,13.08,Consumer Defensive,Discount Stores,77,,84 call 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-13,03:40:15,TGT,BID,125,put,2026-01-16,31d,$97.17,$27.35 - $29.60,$28.25,500,$1.41M,500,103,4.85,100%,"-46,570",51.88,-0.9314,-0.0288,0.0085,0.0398,-0.1139,28.25,Consumer Defensive,Discount Stores,77,,125 put 2026-01-16
TGT_12.16_99call2026-01-09.txt,2025-12-13,03:40:15,TGT,ASK,125,put,2025-12-19,3d,$97.17,$27.25 - $29.05,$28.60,200,$572K,200,51,3.92,100%,"-18,018",131.97,-0.9009,-0.2208,0.0098,0.0235,-0.0223,28.60,Consumer Defensive,Discount Stores,77,,125 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-13,03:40:15,TGT,ASK,120,put,2025-12-19,3d,$97.17,$22.25 - $23.85,$23.65,175,$414K,175,42,4.17,100%,"-15,509",118.24,-0.8862,-0.2185,0.0121,0.0259,-0.0211,23.65,Consumer Defensive,Discount Stores,77,,120 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-13,01:57:29,TGT,ASK,90,call,2026-01-30,45d,$96.46,$8.35 - $9.20,$9.03,57,$51K,58,10,5.80,100%,"4,081",37.85,0.716,-0.0466,0.0253,0.1198,0.0806,9.03,Consumer Defensive,Discount Stores,77,,90 call 2026-01-30
TGT_12.16_99call2026-01-09.txt,2025-12-13,00:35:52,TGT,BID,105,call,2026-01-09,24d,$96.59,$0.72 - $0.82,$0.75,423,$32K,423,79,5.35,100%,"7,418",30.85,0.1754,-0.0381,0.0313,0.0691,0.0124,0.75,Consumer Defensive,Discount Stores,77,,105 call 2026-01-09
TGT_12.16_99call2026-01-09.txt,2025-12-12,04:28:08,TGT,ASK,101,call,2025-12-19,3d,$96.78,$0.49 - $0.57,$0.55,"2,480",$136K,"4,452",24,185.50,96%,"50,943",34.03,0.2054,-0.0868,0.0583,0.0408,0.0042,0.55,Consumer Defensive,Discount Stores,77,,101 call 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-12,04:21:28,TGT,ASK,115,put,2025-12-19,3d,$96.86,$17.70 - $19.20,$19.20,20,$38K,20,5,4.00,100%,"-1,703",103.56,-0.8514,-0.2147,0.0156,0.0332,-0.0223,19.20,Consumer Defensive,Discount Stores,77,,115 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-12,04:21:28,TGT,BID,120,put,2026-01-16,31d,$96.86,$21.65 - $24.50,$21.65,50,$108K,50,11,4.55,100%,"-4,225",61.29,-0.845,-0.0611,0.0128,0.0725,-0.1049,24.50,Consumer Defensive,Discount Stores,77,,120 put 2026-01-16
TGT_12.16_99call2026-01-09.txt,2025-12-12,03:20:39,TGT,ASK,125,put,2025-12-19,3d,$96.37,$27.65 - $29.20,$29.00,400,$1.16M,400,51,7.84,100%,"-37,600",107.49,-0.94,-0.1138,0.0078,0.017,-0.0262,29.00,Consumer Defensive,Discount Stores,77,,125 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-12,03:20:39,TGT,ASK,120,put,2025-12-19,3d,$96.37,$22.75 - $24.50,$24.05,350,$842K,354,42,8.43,100%,"-32,458",96.92,-0.9274,-0.119,0.01,0.0197,-0.0249,24.05,Consumer Defensive,Discount Stores,77,,120 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-12,03:20:39,TGT,ASK,125,put,2026-01-16,31d,$96.37,$26.65 - $30.00,$28.70,900,$2.58M,900,103,8.74,100%,"-88,019",39.86,-0.978,-0.0081,0.0044,0.0159,-0.1213,28.70,Consumer Defensive,Discount Stores,77,,125 put 2026-01-16
TGT_12.16_99call2026-01-09.txt,2025-12-12,01:52:49,TGT,BID,97,put,2026-01-09,24d,$96.64,$3.40 - $3.55,$3.45,90,$31K,92,1,92.00,98%,"-4,501",30.06,-0.5002,-0.0562,0.0487,0.1087,-0.0411,3.45,Consumer Defensive,Discount Stores,77,,97 put 2026-01-09
TGT_12.16_99call2026-01-09.txt,2025-12-11,23:38:39,TGT,ASK,96,put,2025-12-12,-4d,$96.16,$0.83 - $0.90,$0.90,400,$36K,604,107,5.64,79%,"-18,785",48.63,-0.4696,-0.4867,0.1625,0.02,-0.0013,0.90,Consumer Defensive,Discount Stores,77,,96 put 2025-12-12
TGT_12.16_99call2026-01-09.txt,2025-12-11,23:00:35,TGT,ASK,100,put,2025-12-12,-4d,$96.71,$3.30 - $3.40,$3.40,117,$40K,136,13,10.46,99%,"-10,582",48.44,-0.9044,-0.2079,0.0692,0.0086,-0.0025,3.40,Consumer Defensive,Discount Stores,77,,100 put 2025-12-12
TGT_12.16_99call2026-01-09.txt,2025-12-11,04:37:25,TGT,ASK,99,call,2025-12-12,-4d,$94.96,$0.09 - $0.18,$0.15,"2,266",$34K,"3,638",457,7.96,96%,"23,389",43.98,0.1032,-0.1388,0.0581,0.0126,0.0005,0.15,Consumer Defensive,Discount Stores,77,,99 call 2025-12-12
TGT_12.16_99call2026-01-09.txt,2025-12-11,03:38:10,TGT,BID,120,put,2025-12-19,3d,$94.16,$24.65 - $28.00,$26.30,175,$460K,175,42,4.17,100%,"-16,218",100.88,-0.9267,-0.1149,0.0093,0.0206,-0.028,26.30,Consumer Defensive,Discount Stores,77,,120 put 2025-12-19
TGT_12.16_99call2026-01-09.txt,2025-12-11,02:15:02,TGT,ASK,105,call,2026-07-17,213d,$93.09,$6.00 - $6.20,$6.20,50,$31K,50,3,16.67,100%,"1,950",36.44,0.3899,-0.0232,0.0146,0.2766,0.1806,6.20,Consumer Defensive,Discount Stores,77,,105 call 2026-07-17
TGT_12.16_99call2026-01-09.txt,2025-12-11,01:47:37,TGT,BID,95,put,2025-12-12,-4d,$93.11,$2.34 - $2.35,$2.34,166,$39K,247,29,8.52,68%,"-12,240",41.71,-0.7374,-0.2341,0.1134,0.0225,-0.0039,2.34,Consumer Defensive,Discount Stores,77,Repeated Hits Descending Fill,95 put 2025-12-12
TGT_12.16_99call2026-01-09.txt,2025-12-11,01:17:23,TGT,BID,60,put,2027-06-17,548d,$93.50,$2.28 - $4.80,$3.50,700,$245K,700,1,700.00,100%,"-8,606",39.69,-0.1229,-0.0083,0.0045,0.2344,-0.2276,3.50,Consumer Defensive,Discount Stores,77,,60 put 2027-06-17
