source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
RIVN_12.22_40call2026-09-18.txt,2025-12-22,23:23:34,RIVN,ASK,40,call,2026-09-18,270d,$22.23,$1.95 - $2.05,$2.05,814,$167K,"1,015",355,2.86,85%,"24,131",78.14,0.2964,-0.0096,0.0231,0.0661,0.0336,2.05,Consumer Cyclical,Automotive,59,,40 call 2026-09-18
RIVN_12.22_40call2026-09-18.txt,2025-12-22,23:20:36,RIVN,BID,23,put,2026-03-20,88d,$22.23,$3.60 - $3.65,$3.60,300,$108K,310,269,1.15,97%,"-13,997",72.73,-0.4666,-0.0179,0.0501,0.0434,-0.0337,3.60,Consumer Cyclical,Automotive,59,,23 put 2026-03-20
RIVN_12.22_40call2026-09-18.txt,2025-12-22,23:01:32,RIVN,ASK,40,call,2027-01-15,389d,$22.37,$2.80 - $3.30,$3.07,769,$236K,780,217,3.59,100%,"28,385",76.69,0.3691,-0.0086,0.0213,0.0871,0.0553,3.07,Consumer Cyclical,Automotive,59,,40 call 2027-01-15
RIVN_12.22_40call2026-09-18.txt,2025-12-20,04:31:35,RIVN,ASK,20,put,2026-01-30,39d,$22.26,$0.99 - $1.11,$1.07,300,$32K,368,33,11.15,91%,"-8,543",70.19,-0.2848,-0.0214,0.064,0.0256,-0.0085,1.07,Consumer Cyclical,Automotive,59,,20 put 2026-01-30
RIVN_12.22_40call2026-09-18.txt,2025-12-20,03:13:26,RIVN,BID,19,call,2026-03-20,88d,$22.42,$5.20 - $5.40,$5.25,"2,032",$1.07M,"2,179","1,125",1.94,96%,"148,539",79.63,0.731,-0.0162,0.037,0.0369,0.0278,5.25,Consumer Cyclical,Automotive,59,,19 call 2026-03-20
RIVN_12.22_40call2026-09-18.txt,2025-12-20,02:18:46,RIVN,BID,31,put,2026-03-20,88d,$22.50,$9.65 - $10.95,$9.65,50,$48K,50,0,-,100%,"-3,682",77.62,-0.7364,-0.0155,0.0375,0.0367,-0.0654,9.65,Consumer Cyclical,Automotive,59,,31 put 2026-03-20
RIVN_12.22_40call2026-09-18.txt,2025-12-20,01:46:28,RIVN,BID,31,put,2026-01-16,25d,$22.38,$8.85 - $9.95,$8.85,40,$35K,40,0,-,100%,"-3,591",84.84,-0.8977,-0.0167,0.0339,0.0111,-0.0222,8.85,Consumer Cyclical,Automotive,59,,31 put 2026-01-16
RIVN_12.22_40call2026-09-18.txt,2025-12-20,01:02:48,RIVN,BID,18.5,put,2026-01-02,11d,$22.23,$0.19 - $0.21,$0.19,"1,998",$38K,"2,137","1,438",1.49,97%,"-21,212",80.17,-0.1062,-0.0228,0.0525,0.008,-0.001,0.19,Consumer Cyclical,Automotive,59,,18.5 put 2026-01-02
RIVN_12.22_40call2026-09-18.txt,2025-12-20,01:00:48,RIVN,ASK,16,call,2026-09-18,270d,$22.25,$8.75 - $9.05,$8.99,48,$43K,48,0,-,100%,"3,813",82.32,0.7944,-0.0083,0.018,0.0548,0.0649,8.99,Consumer Cyclical,Automotive,59,,16 call 2026-09-18
RIVN_12.22_40call2026-09-18.txt,2025-12-20,00:43:47,RIVN,BID,29,put,2026-02-20,60d,$22.14,$7.85 - $9.20,$7.85,49,$38K,50,0,-,100%,"-3,616",80.60,-0.738,-0.019,0.0439,0.03,-0.0418,7.85,Consumer Cyclical,Automotive,59,,29 put 2026-02-20
RIVN_12.22_40call2026-09-18.txt,2025-12-20,00:33:12,RIVN,ASK,17,call,2028-06-16,907d,$22.18,$11.20 - $12.60,$11.95,70,$84K,71,52,1.37,99%,"5,600",78.87,0.8001,-0.0043,0.0101,0.098,0.1445,11.95,Consumer Cyclical,Automotive,59,,17 call 2028-06-16
RIVN_12.22_40call2026-09-18.txt,2025-12-19,23:55:08,RIVN,BID,30,put,2026-01-16,25d,$21.75,$8.50 - $9.90,$8.50,38,$32K,38,10,3.80,100%,"-3,380",86.44,-0.8894,-0.0175,0.0363,0.0114,-0.0214,8.50,Consumer Cyclical,Automotive,59,,30 put 2026-01-16
