source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
WFC_12.24_105call2026-07-17.txt,2025-12-25,01:29:33,WFC,ASK,105,call,2026-07-17,205d,$95.73,$4.25 - $4.35,$4.35,263,$114K,314,54,5.81,93%,"9,590",27.09,0.3646,-0.018,0.0193,0.2696,0.1716,4.35,Financial Services,Banks,21,Repeated Hits,105 call 2026-07-17
WFC_12.24_105call2026-07-17.txt,2025-12-25,00:59:03,WFC,ASK,97.5,call,2027-12-17,723d,$95.58,$14.75 - $15.75,$15.26,30,$46K,30,2,15.00,100%,"1,708",29.71,0.5693,-0.0112,0.0098,0.5285,0.7756,15.26,Financial Services,Banks,21,,97.5 call 2027-12-17
WFC_12.24_105call2026-07-17.txt,2025-12-24,04:34:28,WFC,BID,65,call,2026-07-17,205d,$94.36,$30.30 - $31.20,$30.30,60,$182K,60,5,12.00,100%,"5,603",36.43,0.9338,-0.0085,0.005,0.0912,0.3263,30.30,Financial Services,Banks,21,,65 call 2026-07-17
WFC_12.24_105call2026-07-17.txt,2025-12-24,04:19:23,WFC,ASK,84,call,2025-12-26,2d,$94.24,$9.60 - $10.75,$10.30,50,$52K,50,47,1.06,100%,"4,859",67.62,0.9717,-0.0627,0.0112,0.0055,0.0067,10.30,Financial Services,Banks,21,,84 call 2025-12-26
WFC_12.24_105call2026-07-17.txt,2025-12-24,03:14:20,WFC,BID,95,put,2027-12-17,723d,$94.39,$12.50 - $15.10,$13.45,240,$323K,240,1,240.00,100%,"-10,320",25.41,-0.43,-0.0087,0.0116,0.5222,-1.0718,13.45,Financial Services,Banks,21,,95 put 2027-12-17
WFC_12.24_105call2026-07-17.txt,2025-12-24,01:30:34,WFC,BID,97,call,2026-01-02,9d,$94.16,$0.13 - $0.14,$0.13,"3,200",$42K,"3,252",253,12.85,99%,"37,121",14.88,0.116,-0.0227,0.0842,0.0304,0.003,0.13,Financial Services,Banks,21,,97 call 2026-01-02
WFC_12.24_105call2026-07-17.txt,2025-12-19,03:40:34,WFC,ASK,96,put,2025-12-26,2d,$91.62,$3.95 - $4.45,$4.29,70,$30K,70,0,-,100%,"-6,568",20.26,-0.9383,-0.0206,0.0443,0.0165,-0.0198,4.45,Financial Services,Banks,21,,96 put 2025-12-26
WFC_12.24_105call2026-07-17.txt,2025-12-18,04:43:17,WFC,ASK,70,call,2026-07-17,205d,$92.50,$24.50 - $26.15,$25.44,35,$89K,35,1,35.00,100%,"2,962",42.88,0.8464,-0.0173,0.0078,0.167,0.307,25.44,Financial Services,Banks,21,,70 call 2026-07-17
WFC_12.24_105call2026-07-17.txt,2025-12-18,04:43:14,WFC,ASK,100,put,2025-12-26,2d,$92.50,$6.35 - $7.55,$7.19,60,$43K,60,0,-,100%,"-5,807",26.56,-0.9678,-0.0152,0.0187,0.0105,-0.0239,7.55,Financial Services,Banks,21,,100 put 2025-12-26
WFC_12.24_105call2026-07-17.txt,2025-12-17,03:22:01,WFC,BID,50,call,2026-01-30,37d,$92.07,$41.65 - $44.45,$42.98,7,$30K,7,0,-,100%,667,119.33,0.9523,-0.0428,0.0026,0.0321,0.0551,42.98,Financial Services,Banks,21,,50 call 2026-01-30
WFC_12.24_105call2026-07-17.txt,2025-12-17,02:14:10,WFC,BID,97,call,2026-01-30,37d,$91.65,$1.29 - $2.23,$1.52,"1,630",$248K,"1,630",1,"1,630.00",100%,"47,570",27.04,0.2918,-0.0333,0.0395,0.1105,0.0311,1.52,Financial Services,Banks,21,,97 call 2026-01-30
WFC_12.24_105call2026-07-17.txt,2025-12-17,00:38:46,WFC,ASK,75,call,2026-01-30,37d,$91.90,$16.90 - $19.75,$18.61,28,$52K,28,0,-,100%,"2,384",61.99,0.8516,-0.0518,0.0116,0.0747,0.0735,18.61,Financial Services,Banks,21,,75 call 2026-01-30
WFC_12.24_105call2026-07-17.txt,2025-12-15,22:40:30,WFC,ASK,83,call,2026-01-09,16d,$94.01,$11.15 - $11.80,$11.50,100,$115K,100,2,50.00,100%,"8,978",39.09,0.8978,-0.0345,0.0185,0.0439,0.0499,11.50,Financial Services,Banks,21,,83 call 2026-01-09
WFC_12.24_105call2026-07-17.txt,2025-12-15,22:36:11,WFC,ASK,97.5,call,2028-01-21,758d,$93.63,$14.85 - $15.50,$15.18,20,$30K,20,1,20.00,100%,"1,115",30.70,0.5575,-0.011,0.0095,0.5358,0.778,15.18,Financial Services,Banks,21,,97.5 call 2028-01-21
