source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
FTAI_01.03_260call2026-05-15.txt,2026-01-03,04:30:27,FTAI,ASK,260,call,2026-05-15,130d,$209.33,$11.30 - $11.40,$11.40,163,$186K,250,10,25.00,100%,"5,015",53.82,0.3077,-0.0902,0.0052,0.4443,0.1932,11.40,Industrials,Rental & Leasing Services,51,Repeated Hits,260 call 2026-05-15
FTAI_01.03_260call2026-05-15.txt,2026-01-03,04:30:27,FTAI,ASK,260,call,2026-05-15,130d,$209.33,$11.30 - $11.40,$11.40,64,$73K,68,10,6.80,100%,"1,969",53.82,0.3077,-0.0902,0.0052,0.4443,0.1932,11.40,Industrials,Rental & Leasing Services,51,Repeated Hits,260 call 2026-05-15
FTAI_01.03_260call2026-05-15.txt,2026-01-03,00:36:33,FTAI,BID,170,put,2026-02-20,46d,$204.72,$1.80 - $4.10,$2.80,150,$42K,162,70,2.31,94%,"-2,027",50.28,-0.1352,-0.0835,0.0058,0.163,-0.0409,2.80,Industrials,Rental & Leasing Services,51,,170 put 2026-02-20
FTAI_01.03_260call2026-05-15.txt,2026-01-03,00:36:33,FTAI,ASK,190,put,2026-02-20,46d,$204.72,$6.10 - $8.40,$7.40,150,$111K,160,16,10.00,94%,"-4,517",46.95,-0.3011,-0.1248,0.0099,0.2612,-0.0927,7.40,Industrials,Rental & Leasing Services,51,,190 put 2026-02-20
FTAI_01.03_260call2026-05-15.txt,2026-01-02,23:33:48,FTAI,ASK,202.5,call,2026-01-09,4d,$201.58,$2.90 - $4.40,$4.40,123,$54K,186,2,93.00,67%,"5,928",43.40,0.4819,-0.3452,0.0329,0.1113,0.0178,4.40,Industrials,Rental & Leasing Services,51,,202.5 call 2026-01-09
FTAI_01.03_260call2026-05-15.txt,2026-01-01,01:35:09,FTAI,ASK,200,put,2026-05-15,130d,$198.79,$23.40 - $25.00,$25.00,150,$375K,150,0,-,100%,"-6,681",50.80,-0.4454,-0.0892,0.0064,0.4778,-0.4199,25.00,Industrials,Rental & Leasing Services,51,,200 put 2026-05-15
FTAI_01.03_260call2026-05-15.txt,2026-01-01,00:37:35,FTAI,BID,80,call,2028-01-21,746d,$197.63,$127.00 - $130.50,$128.00,11,$141K,13,2,6.50,100%,"1,017",65.97,0.9243,-0.0182,0.0008,0.404,1.125,128.00,Industrials,Rental & Leasing Services,51,,80 call 2028-01-21
FTAI_01.03_260call2026-05-15.txt,2025-12-31,04:47:31,FTAI,BID,220,call,2026-09-18,256d,$196.81,$27.90 - $30.50,$28.60,32,$92K,36,1,36.00,89%,"1,607",55.88,0.5023,-0.0715,0.0043,0.6652,0.5043,28.60,Industrials,Rental & Leasing Services,51,,220 call 2026-09-18
FTAI_01.03_260call2026-05-15.txt,2025-12-31,04:09:58,FTAI,BID,170,call,2026-01-30,25d,$197.73,$30.50 - $30.60,$30.50,30,$92K,30,1,30.00,100%,"2,539",55.21,0.8462,-0.1224,0.0075,0.1366,0.1162,30.50,Industrials,Rental & Leasing Services,51,,170 call 2026-01-30
FTAI_01.03_260call2026-05-15.txt,2025-12-31,04:01:04,FTAI,BID,200,put,2027-01-15,375d,$195.89,$39.60 - $39.60,$39.50,20,$79K,25,2,12.50,100%,-838,47.27,-0.419,-0.0476,0.0041,0.7819,-1.269,39.50,Industrials,Rental & Leasing Services,51,,200 put 2027-01-15
FTAI_01.03_260call2026-05-15.txt,2025-12-31,02:59:24,FTAI,ASK,220,put,2026-06-18,164d,$195.50,$39.80 - $42.80,$41.44,26,$108K,26,0,-,100%,"-1,487",49.13,-0.572,-0.0748,0.006,0.5236,-0.7139,41.44,Industrials,Rental & Leasing Services,51,,220 put 2026-06-18
FTAI_01.03_260call2026-05-15.txt,2025-12-31,02:59:24,FTAI,BID,220,put,2026-03-20,74d,$195.50,$32.20 - $35.10,$33.51,26,$87K,26,0,-,100%,"-1,705",48.75,-0.6559,-0.1018,0.0082,0.3369,-0.3545,33.51,Industrials,Rental & Leasing Services,51,,220 put 2026-03-20
FTAI_01.03_260call2026-05-15.txt,2025-12-31,01:10:30,FTAI,BID,175,call,2026-02-20,46d,$196.52,$26.40 - $29.90,$28.03,20,$56K,21,13,1.62,95%,"1,503",53.13,0.7517,-0.1206,0.008,0.2348,0.1705,28.03,Industrials,Rental & Leasing Services,51,,175 call 2026-02-20
FTAI_01.03_260call2026-05-15.txt,2025-12-31,01:04:38,FTAI,BID,270,put,2026-05-15,130d,$197.60,$74.00 - $78.60,$74.00,7,$52K,7,0,-,100%,-632,36.13,-0.9035,-0.0259,0.0039,0.2063,-0.9409,74.00,Industrials,Rental & Leasing Services,51,,270 put 2026-05-15
FTAI_01.03_260call2026-05-15.txt,2025-12-31,00:46:33,FTAI,BID,250,call,2026-06-18,164d,$197.31,$12.10 - $13.00,$12.10,104,$126K,141,16,8.81,82%,"3,288",52.53,0.3162,-0.0743,0.005,0.4791,0.2342,12.10,Industrials,Rental & Leasing Services,51,,250 call 2026-06-18
