source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
RGTI_01.03_33call2026-01-16.txt,2026-01-03,03:59:10,RGTI,ASK,36,put,2026-01-30,25d,$23.73,$11.40 - $14.55,$13.01,39,$51K,39,0,-,100%,"-3,200",136.09,-0.8206,-0.0417,0.0293,0.0172,-0.0249,13.01,Technology,Computer Hardware,58,,36 put 2026-01-30
RGTI_01.03_33call2026-01-16.txt,2026-01-03,02:18:28,RGTI,ASK,24.5,call,2026-01-16,11d,$23.13,$1.07 - $1.11,$1.10,767,$84K,827,661,1.25,94%,"31,319",91.37,0.4083,-0.0574,0.0938,0.0176,0.0032,1.10,Technology,Computer Hardware,58,,24.5 call 2026-01-16
RGTI_01.03_33call2026-01-16.txt,2026-01-03,01:32:12,RGTI,ASK,33,call,2026-01-16,11d,$22.93,$0.13 - $0.19,$0.17,"9,369",$159K,"11,004","1,241",8.87,85%,"71,783",120.30,0.0766,-0.0278,0.0266,0.0065,0.0006,0.17,Technology,Computer Hardware,58,Repeated Hits Ascending Fill,33 call 2026-01-16
RGTI_01.03_33call2026-01-16.txt,2026-01-02,23:40:20,RGTI,BID,23,call,2026-01-30,25d,$22.61,$1.93 - $2.09,$2.00,"1,269",$254K,"1,712",606,2.83,99%,"65,982",87.07,0.52,-0.0388,0.0731,0.025,0.0075,2.00,Technology,Computer Hardware,58,,23 call 2026-01-30
RGTI_01.03_33call2026-01-16.txt,2026-01-02,22:45:32,RGTI,BID,22,put,2026-02-20,46d,$22.03,$2.63 - $2.85,$2.70,"10,000",$2.7M,"10,002","2,089",4.79,100%,"-436,463",84.76,-0.4365,-0.0274,0.0576,0.0318,-0.0165,2.70,Technology,Computer Hardware,58,,22 put 2026-02-20
RGTI_01.03_33call2026-01-16.txt,2025-12-31,23:24:17,RGTI,BID,25,call,2026-02-06,32d,$22.24,$1.40 - $1.80,$1.52,200,$30K,201,57,3.53,100%,"7,893",89.64,0.3946,-0.0331,0.0607,0.0273,0.0074,1.52,Technology,Computer Hardware,58,,25 call 2026-02-06
RGTI_01.03_33call2026-01-16.txt,2025-12-30,23:08:35,RGTI,ASK,22.5,put,2026-01-09,4d,$22.56,$1.18 - $1.27,$1.24,350,$43K,360,83,4.34,98%,"-16,248",85.45,-0.4642,-0.0634,0.1245,0.0148,-0.0032,1.24,Technology,Computer Hardware,58,,22.5 put 2026-01-09
RGTI_01.03_33call2026-01-16.txt,2025-12-30,03:33:07,RGTI,ASK,23,call,2026-01-30,25d,$22.36,$1.88 - $2.00,$2.00,300,$60K,341,222,1.54,89%,"15,214",86.25,0.5071,-0.0356,0.0699,0.0264,0.0082,2.00,Technology,Computer Hardware,58,,23 call 2026-01-30
RGTI_01.03_33call2026-01-16.txt,2025-12-30,03:05:25,RGTI,ASK,39,call,2026-05-15,130d,$22.01,$1.77 - $1.78,$1.78,254,$45K,322,128,2.52,96%,"7,046",102.94,0.2774,-0.017,0.0241,0.0452,0.0162,1.78,Technology,Computer Hardware,58,Repeated Hits,39 call 2026-05-15
RGTI_01.03_33call2026-01-16.txt,2025-12-30,01:11:03,RGTI,ASK,21,call,2026-08-21,228d,$21.79,$6.65 - $7.50,$7.08,198,$140K,198,1,198.00,100%,"13,332",99.96,0.6733,-0.0135,0.0206,0.0631,0.0489,7.08,Technology,Computer Hardware,58,,21 call 2026-08-21
RGTI_01.03_33call2026-01-16.txt,2025-12-26,23:18:18,RGTI,BID,22,call,2025-12-26,-10d,$23.14,$1.17 - $1.28,$1.17,300,$35K,300,100,3.00,100%,"27,715",7.35,0.9238,-0.0008,0.173,0.0161,0.0479,1.17,Technology,Computer Hardware,58,,22 call 2025-12-26
RGTI_01.03_33call2026-01-16.txt,2025-12-25,01:34:55,RGTI,ASK,35,call,2026-01-09,4d,$24.49,$0.12 - $0.22,$0.22,"2,727",$60K,"2,744",248,11.06,100%,"24,062",115.78,0.0882,-0.0297,0.027,0.0082,0.0009,0.22,Technology,Computer Hardware,58,Repeated Hits,35 call 2026-01-09
RGTI_01.03_33call2026-01-16.txt,2025-12-24,02:26:43,RGTI,BID,26,call,2026-01-30,25d,$25.35,$2.78 - $2.98,$2.78,200,$56K,280,47,5.96,86%,"10,547",93.92,0.5274,-0.0403,0.0518,0.0326,0.011,2.78,Technology,Computer Hardware,58,,26 call 2026-01-30
RGTI_01.03_33call2026-01-16.txt,2025-12-23,23:38:17,RGTI,BID,25.5,put,2026-01-02,-3d,$25.88,$1.16 - $1.20,$1.16,393,$46K,408,116,3.52,98%,"-16,864",79.16,-0.4291,-0.0665,0.1158,0.0168,-0.0034,1.16,Technology,Computer Hardware,58,Repeated Hits,25.5 put 2026-01-02
RGTI_01.03_33call2026-01-16.txt,2025-12-23,23:07:00,RGTI,BID,21,call,2026-01-09,4d,$25.48,$4.85 - $6.15,$5.12,59,$30K,59,12,4.92,100%,"4,867",109.89,0.8249,-0.0459,0.0427,0.0142,0.0074,5.12,Technology,Computer Hardware,58,,21 call 2026-01-09
