source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
LEN_01.09_125call2026-02-20.txt,2026-01-10,04:12:50,LEN,ASK,123,call,2026-01-23,10d,$118.48,$1.85 - $2.30,$2.11,"1,000",$211K,"1,001",0,-,100%,"33,974",42.07,0.3397,-0.1278,0.0375,0.085,0.0146,2.11,Consumer Cyclical,Residential Construction,65,,123 call 2026-01-23
LEN_01.09_125call2026-02-20.txt,2026-01-10,03:08:07,LEN,BID,145,call,2027-01-15,367d,$117.76,$9.40 - $10.30,$9.40,300,$282K,308,159,1.94,99%,"11,028",38.31,0.3676,-0.0234,0.0083,0.4473,0.3445,9.40,Consumer Cyclical,Residential Construction,65,,145 call 2027-01-15
LEN_01.09_125call2026-02-20.txt,2026-01-10,03:08:07,LEN,ASK,110,put,2027-01-15,367d,$117.76,$12.10 - $14.50,$13.35,300,$401K,300,144,2.08,100%,"-10,594",37.59,-0.3531,-0.0219,0.0083,0.4412,-0.5584,13.35,Consumer Cyclical,Residential Construction,65,,110 put 2027-01-15
LEN_01.09_125call2026-02-20.txt,2026-01-10,00:51:59,LEN,ASK,112,call,2026-01-30,17d,$115.90,$5.50 - $7.00,$7.00,46,$32K,48,27,1.78,98%,"2,976",44.03,0.647,-0.1085,0.0304,0.1033,0.0391,7.00,Consumer Cyclical,Residential Construction,65,,112 call 2026-01-30
LEN_01.09_125call2026-02-20.txt,2026-01-09,23:09:06,LEN,ASK,125,call,2026-02-20,38d,$114.32,$2.10 - $2.15,$2.15,700,$151K,873,341,2.56,92%,"18,281",37.35,0.2612,-0.0562,0.0224,0.1261,0.0319,2.15,Consumer Cyclical,Residential Construction,65,Repeated Hits,125 call 2026-02-20
LEN_01.09_125call2026-02-20.txt,2026-01-09,04:13:28,LEN,ASK,107,put,2026-01-23,10d,$109.68,$2.20 - $2.50,$2.50,139,$35K,157,11,14.27,100%,"-5,137",42.11,-0.3695,-0.1176,0.0403,0.0839,-0.0177,2.50,Consumer Cyclical,Residential Construction,65,,107 put 2026-01-23
LEN_01.09_125call2026-02-20.txt,2026-01-09,03:37:07,LEN,ASK,80,call,2026-01-16,3d,$110.16,$28.20 - $30.90,$29.76,40,$119K,40,39,1.03,100%,"3,749",152.15,0.9374,-0.1913,0.005,0.0201,0.0159,30.90,Consumer Cyclical,Residential Construction,65,,80 call 2026-01-16
LEN_01.09_125call2026-02-20.txt,2026-01-09,03:37:07,LEN,BID,60,call,2026-01-16,3d,$110.16,$48.20 - $52.10,$49.76,20,$100K,20,11,1.82,100%,"1,865",327.36,0.9327,-0.4349,0.0024,0.0212,0.0111,52.10,Consumer Cyclical,Residential Construction,65,,60 call 2026-01-16
LEN_01.09_125call2026-02-20.txt,2026-01-09,03:37:07,LEN,ASK,65,call,2026-01-16,3d,$110.16,$43.20 - $47.10,$45.54,20,$91K,20,13,1.54,100%,"1,946",200.69,0.9728,-0.1284,0.0019,0.0102,0.0135,45.54,Consumer Cyclical,Residential Construction,65,,65 call 2026-01-16
LEN_01.09_125call2026-02-20.txt,2026-01-09,02:54:55,LEN,ASK,115,call,2026-02-20,38d,$109.08,$3.20 - $3.40,$3.32,"1,887",$626K,"2,725",438,6.22,93%,"69,210",37.82,0.3668,-0.0622,0.0266,0.141,0.0432,3.32,Consumer Cyclical,Residential Construction,65,,115 call 2026-02-20
LEN_01.09_125call2026-02-20.txt,2026-01-07,22:53:08,LEN,BID,85,put,2026-08-21,220d,$106.03,$3.80 - $5.80,$3.80,109,$41K,110,0,-,99%,"-2,037",38.32,-0.1868,-0.0188,0.0084,0.2241,-0.1462,3.80,Consumer Cyclical,Residential Construction,65,,85 put 2026-08-21
LEN_01.09_125call2026-02-20.txt,2026-01-07,03:57:47,LEN,ASK,113,call,2026-01-23,10d,$106.15,$0.85 - $1.20,$1.20,840,$101K,"1,111",13,85.46,100%,"20,136",38.66,0.2397,-0.081,0.0351,0.0712,0.0113,1.20,Consumer Cyclical,Residential Construction,65,Repeated Hits Ascending Fill,113 call 2026-01-23
LEN_01.09_125call2026-02-20.txt,2026-01-06,02:31:31,LEN,ASK,150,call,2027-01-15,367d,$105.07,$3.70 - $3.90,$3.90,270,$105K,270,145,1.86,100%,"5,747",35.65,0.2128,-0.0148,0.0077,0.3094,0.1897,3.90,Consumer Cyclical,Residential Construction,65,,150 call 2027-01-15
LEN_01.09_125call2026-02-20.txt,2026-01-02,23:49:36,LEN,ASK,100,put,2026-02-20,38d,$103.19,$3.40 - $3.70,$3.60,479,$172K,538,359,1.50,93%,"-18,002",34.01,-0.3758,-0.0496,0.0295,0.1435,-0.0569,3.60,Consumer Cyclical,Residential Construction,65,,100 put 2026-02-20
LEN_01.09_125call2026-02-20.txt,2026-01-01,03:38:44,LEN,BID,100,call,2026-09-18,248d,$103.28,$14.20 - $16.10,$14.97,99,$148K,99,14,7.07,100%,"5,997",38.58,0.6057,-0.0252,0.0114,0.3361,0.3403,14.97,Consumer Cyclical,Residential Construction,65,,100 call 2026-09-18
LEN_01.09_125call2026-02-20.txt,2025-12-31,03:46:48,LEN,ASK,120,put,2026-01-09,-4d,$103.99,$15.00 - $17.60,$16.60,40,$66K,42,21,2.00,95%,"-3,558",67.61,-0.8894,-0.1095,0.0162,0.0325,-0.0299,16.60,Consumer Cyclical,Residential Construction,65,,120 put 2026-01-09
LEN_01.09_125call2026-02-20.txt,2025-12-31,03:46:48,LEN,BID,111,put,2026-01-02,-11d,$103.99,$6.50 - $8.30,$7.30,70,$51K,72,32,2.25,97%,"-6,214",57.98,-0.8877,-0.1735,0.0349,0.018,-0.0082,7.30,Consumer Cyclical,Residential Construction,65,,111 put 2026-01-02
LEN_01.09_125call2026-02-20.txt,2025-12-31,03:46:48,LEN,BID,112,put,2026-01-02,-11d,$103.99,$7.50 - $9.30,$8.30,50,$42K,50,25,2.00,100%,"-4,479",63.59,-0.8958,-0.1803,0.0302,0.017,-0.0083,8.30,Consumer Cyclical,Residential Construction,65,,112 put 2026-01-02
LEN_01.09_125call2026-02-20.txt,2025-12-31,03:46:48,LEN,ASK,115,put,2026-01-02,-11d,$103.99,$10.40 - $12.50,$11.50,40,$46K,41,18,2.28,98%,"-3,520",91.29,-0.8799,-0.2868,0.0233,0.0189,-0.0085,11.50,Consumer Cyclical,Residential Construction,65,,115 put 2026-01-02
LEN_01.09_125call2026-02-20.txt,2025-12-30,22:31:26,LEN,BID,105,call,2026-12-18,339d,$103.25,$14.80 - $15.90,$14.80,99,$147K,99,4,24.75,100%,"5,543",38.27,0.5599,-0.022,0.0101,0.4005,0.416,14.80,Consumer Cyclical,Residential Construction,65,,105 call 2026-12-18
