source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
RKT_01.13_23.5call2026-02-27.txt,2026-01-13,03:28:26,RKT,ASK,23.5,call,2026-02-27,45d,$23.02,$2.11 - $2.12,$2.12,655,$139K,"1,216",15,81.07,100%,"33,969",71.52,0.5186,-0.0254,0.0682,0.0326,0.0124,2.12,Financial Services,Mortgage Finance,44,Repeated Hits Descending Fill,23.5 call 2026-02-27
RKT_01.13_23.5call2026-02-27.txt,2026-01-13,02:20:49,RKT,ASK,21.2,put,2027-01-15,367d,$22.91,$3.80 - $4.03,$3.95,252,$100K,252,134,1.88,100%,"-8,481",54.94,-0.3366,-0.0062,0.0289,0.084,-0.1176,3.95,Financial Services,Mortgage Finance,44,,21.2 put 2027-01-15
RKT_01.13_23.5call2026-02-27.txt,2026-01-13,00:51:03,RKT,ASK,27,call,2026-02-20,38d,$23.08,$0.53 - $0.62,$0.60,"8,876",$533K,"9,153",436,20.99,100%,"216,561",60.56,0.244,-0.0184,0.0687,0.0237,0.0054,0.60,Financial Services,Mortgage Finance,44,,27 call 2026-02-20
RKT_01.13_23.5call2026-02-27.txt,2026-01-10,00:24:48,RKT,BID,23,call,2026-06-18,156d,$22.61,$3.40 - $3.55,$3.39,"7,500",$2.54M,"9,574","3,081",3.11,86%,"421,590",59.75,0.5621,-0.0111,0.0441,0.059,0.0408,3.39,Financial Services,Mortgage Finance,44,,23 call 2026-06-18
RKT_01.13_23.5call2026-02-27.txt,2026-01-09,22:55:35,RKT,ASK,24,call,2026-02-20,38d,$22.32,$1.07 - $1.16,$1.15,"2,000",$230K,"2,045",788,2.60,99%,"79,841",59.77,0.3992,-0.0208,0.0853,0.0292,0.0089,1.15,Financial Services,Mortgage Finance,44,,24 call 2026-02-20
RKT_01.13_23.5call2026-02-27.txt,2026-01-09,22:38:45,RKT,ASK,22,put,2026-02-20,38d,$22.66,$1.10 - $1.30,$1.30,952,$124K,"1,000",301,3.32,100%,"-38,018",53.39,-0.3993,-0.0188,0.0941,0.0297,-0.0119,1.30,Financial Services,Mortgage Finance,44,Repeated Hits,22 put 2026-02-20
RKT_01.13_23.5call2026-02-27.txt,2026-01-08,23:12:39,RKT,BID,18,call,2026-01-30,17d,$20.99,$2.96 - $3.75,$3.27,100,$33K,100,32,3.13,100%,"8,510",65.20,0.851,-0.0178,0.0691,0.012,0.0088,3.27,Financial Services,Mortgage Finance,44,,18 call 2026-01-30
RKT_01.13_23.5call2026-02-27.txt,2026-01-08,22:43:48,RKT,ASK,22,put,2028-01-21,738d,$20.92,$5.10 - $6.50,$6.50,50,$33K,50,25,2.00,100%,"-1,915",50.42,-0.383,-0.0038,0.0254,0.1139,-0.2954,6.50,Financial Services,Mortgage Finance,44,,22 put 2028-01-21
RKT_01.13_23.5call2026-02-27.txt,2026-01-08,22:42:49,RKT,ASK,25,call,2026-02-20,38d,$20.91,$0.44 - $0.61,$0.60,"12,312",$739K,"12,322",629,19.59,100%,"299,680",64.55,0.2434,-0.0169,0.0676,0.0225,0.0053,0.60,Financial Services,Mortgage Finance,44,,25 call 2026-02-20
RKT_01.13_23.5call2026-02-27.txt,2026-01-08,03:52:50,RKT,BID,18,call,2026-02-20,38d,$21.32,$3.80 - $4.75,$3.80,400,$152K,435,109,3.99,98%,"32,836",59.92,0.8209,-0.0133,0.059,0.0194,0.0165,3.80,Financial Services,Mortgage Finance,44,,18 call 2026-02-20
RKT_01.13_23.5call2026-02-27.txt,2026-01-03,03:58:03,RKT,BID,21,call,2026-02-06,24d,$19.97,$0.81 - $0.89,$0.81,740,$60K,862,122,7.07,98%,"29,744",49.73,0.4019,-0.017,0.1258,0.0239,0.0069,0.81,Financial Services,Mortgage Finance,44,Floor Trade Large Cap,21 call 2026-02-06
RKT_01.13_23.5call2026-02-27.txt,2026-01-03,03:58:03,RKT,BID,20.5,call,2026-02-13,31d,$19.97,$0.87 - $1.33,$1.08,740,$80K,846,1,846.00,100%,"34,770",48.49,0.4699,-0.0156,0.1211,0.0269,0.0096,1.08,Financial Services,Mortgage Finance,44,Floor Trade Large Cap,20.5 call 2026-02-13
