source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
USAR_01.14_21call2026-02-20.txt,2026-01-14,03:26:59,USAR,ASK,21,call,2026-02-20,37d,$16.67,$1.04 - $1.10,$1.10,"1,124",$124K,"1,177",994,1.18,99%,"36,960",113.94,0.3288,-0.0292,0.059,0.0195,0.0046,1.10,Basic Materials,Metals & Mining,22,Repeated Hits,21 call 2026-02-20
USAR_01.14_21call2026-02-20.txt,2026-01-14,03:26:44,USAR,ASK,18,put,2026-02-20,37d,$16.61,$3.10 - $3.15,$3.15,417,$131K,417,177,2.36,100%,"-21,774",108.05,-0.5222,-0.0303,0.0688,0.0213,-0.0123,3.15,Basic Materials,Metals & Mining,22,,18 put 2026-02-20
USAR_01.14_21call2026-02-20.txt,2026-01-13,03:28:46,USAR,ASK,22,call,2026-02-20,37d,$17.80,$1.33 - $1.44,$1.39,381,$53K,425,266,1.60,100%,"13,776",118.25,0.3616,-0.0331,0.0545,0.0218,0.0054,1.39,Basic Materials,Metals & Mining,22,,22 call 2026-02-20
USAR_01.14_21call2026-02-20.txt,2026-01-09,01:08:08,USAR,BID,14,put,2026-01-23,9d,$16.70,$0.37 - $0.61,$0.44,"1,000",$44K,"1,056",301,3.51,95%,"-18,784",112.78,-0.1878,-0.0343,0.0706,0.0091,-0.0015,0.44,Basic Materials,Metals & Mining,22,,14 put 2026-01-23
USAR_01.14_21call2026-02-20.txt,2026-01-09,01:01:34,USAR,BID,14.5,put,2026-01-16,2d,$16.70,$0.29 - $0.36,$0.32,977,$31K,"1,025",435,2.36,96%,"-18,059",117.84,-0.1848,-0.0486,0.0916,0.0066,-0.0007,0.32,Basic Materials,Metals & Mining,22,,14.5 put 2026-01-16
USAR_01.14_21call2026-02-20.txt,2026-01-07,23:16:57,USAR,ASK,5,put,2026-06-18,155d,$17.54,$0.03 - $0.27,$0.19,"7,500",$143K,"7,500",36,208.33,100%,"-19,172",122.10,-0.0256,-0.0026,0.0042,0.007,-0.0028,0.19,Basic Materials,Metals & Mining,22,,5 put 2026-06-18
USAR_01.14_21call2026-02-20.txt,2026-01-07,23:16:57,USAR,ASK,10,put,2026-06-18,155d,$17.54,$0.85 - $1.39,$1.25,"3,500",$438K,"3,500","1,786",1.96,100%,"-45,596",112.57,-0.1303,-0.0086,0.0161,0.0247,-0.0157,1.25,Basic Materials,Metals & Mining,22,,10 put 2026-06-18
USAR_01.14_21call2026-02-20.txt,2026-01-07,04:12:31,USAR,ASK,17.5,call,2026-01-16,2d,$17.90,$1.55 - $1.69,$1.69,306,$52K,423,174,2.43,88%,"17,878",126.96,0.5842,-0.0734,0.1037,0.0116,0.0024,1.69,Basic Materials,Metals & Mining,22,,17.5 call 2026-01-16
USAR_01.14_21call2026-02-20.txt,2026-01-05,22:49:38,USAR,BID,17,call,2026-01-09,-5d,$15.42,$0.30 - $0.33,$0.30,"1,000",$30K,"1,331",489,2.72,78%,"25,617",128.92,0.2562,-0.0837,0.1547,0.0052,0.0004,0.30,Basic Materials,Metals & Mining,22,,17 call 2026-01-09
USAR_01.14_21call2026-02-20.txt,2026-01-05,22:47:33,USAR,ASK,28,put,2026-02-20,37d,$15.42,$12.55 - $12.80,$12.73,28,$36K,38,0,-,74%,"-2,602",101.80,-0.9292,-0.0081,0.0243,0.0074,-0.0341,12.73,Basic Materials,Metals & Mining,22,,28 put 2026-02-20
