source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
WMT_01.15_122call2026-01-16.txt,2026-01-15,00:39:08,WMT,BID,121,put,2026-01-30,15d,$119.57,$2.91 - $3.10,$3.00,600,$180K,610,17,35.88,99%,"-35,532",22.06,-0.5922,-0.0668,0.0703,0.0972,-0.0324,3.00,Consumer Defensive,Discount Stores,35,,121 put 2026-01-30
WMT_01.15_122call2026-01-16.txt,2026-01-15,00:17:37,WMT,ASK,122,call,2026-01-16,1d,$119.54,$0.29 - $0.33,$0.33,"16,691",$551K,"19,760","2,680",7.37,92%,"341,059",32.88,0.2043,-0.2063,0.0975,0.0251,0.0013,0.33,Consumer Defensive,Discount Stores,35,Repeated Hits Ascending Fill,122 call 2026-01-16
WMT_01.15_122call2026-01-16.txt,2026-01-15,00:13:33,WMT,BID,125,put,2027-06-17,518d,$119.51,$13.50 - $17.50,$15.32,20,$31K,20,19,1.05,100%,"-1,021",21.89,-0.5105,-0.0114,0.0128,0.5683,-1.0853,15.32,Consumer Defensive,Discount Stores,35,,125 put 2027-06-17
WMT_01.15_122call2026-01-16.txt,2026-01-14,04:11:41,WMT,BID,124,call,2026-02-06,22d,$119.57,$1.12 - $1.24,$1.16,259,$30K,284,43,6.60,96%,"7,175",22.80,0.277,-0.0489,0.0479,0.1027,0.021,1.16,Consumer Defensive,Discount Stores,35,,124 call 2026-02-06
WMT_01.15_122call2026-01-16.txt,2026-01-14,02:07:52,WMT,ASK,119,put,2026-01-16,1d,$120.00,$0.87 - $0.89,$0.89,750,$67K,"1,156",305,3.79,78%,"-28,287",30.75,-0.3772,-0.2117,0.1135,0.0413,-0.0038,0.89,Consumer Defensive,Discount Stores,35,,119 put 2026-01-16
WMT_01.15_122call2026-01-16.txt,2026-01-14,01:38:06,WMT,ASK,140,put,2026-04-17,92d,$119.98,$18.45 - $20.90,$20.18,30,$61K,31,0,-,97%,"-2,843",18.16,-0.9476,-0.0055,0.0097,0.0652,-0.3448,20.18,Consumer Defensive,Discount Stores,35,,140 put 2026-04-17
WMT_01.15_122call2026-01-16.txt,2026-01-13,03:44:02,WMT,BID,111,call,2026-02-27,43d,$118.70,$9.80 - $10.50,$9.90,62,$61K,65,1,65.00,97%,"4,611",31.65,0.7438,-0.0471,0.0241,0.1356,0.0988,9.90,Consumer Defensive,Discount Stores,35,,111 call 2026-02-27
WMT_01.15_122call2026-01-16.txt,2026-01-13,00:38:51,WMT,BID,140,call,2026-12-18,337d,$118.40,$5.05 - $5.15,$5.09,497,$253K,567,266,2.13,89%,"14,987",26.40,0.3015,-0.0157,0.0116,0.3982,0.2852,5.09,Consumer Defensive,Discount Stores,35,,140 call 2026-12-18
WMT_01.15_122call2026-01-16.txt,2026-01-13,00:24:30,WMT,BID,118,call,2026-02-13,29d,$118.33,$3.50 - $3.80,$3.60,175,$63K,189,79,2.39,94%,"9,284",24.54,0.5305,-0.0538,0.0463,0.1394,0.0519,3.60,Consumer Defensive,Discount Stores,35,,118 call 2026-02-13
WMT_01.15_122call2026-01-16.txt,2026-01-13,00:07:45,WMT,ASK,110,put,2026-01-30,15d,$118.16,$0.38 - $0.40,$0.40,797,$32K,835,435,1.92,97%,"-8,957",27.25,-0.1124,-0.0379,0.0267,0.0501,-0.0067,0.40,Consumer Defensive,Discount Stores,35,,110 put 2026-01-30
WMT_01.15_122call2026-01-16.txt,2026-01-12,23:50:43,WMT,ASK,119,put,2026-01-30,15d,$117.69,$2.86 - $3.00,$3.00,129,$39K,143,2,71.50,95%,"-7,492",21.81,-0.5808,-0.0616,0.0685,0.1021,-0.0352,3.00,Consumer Defensive,Discount Stores,35,Repeated Hits,119 put 2026-01-30
WMT_01.15_122call2026-01-16.txt,2026-01-12,23:18:08,WMT,BID,135,call,2027-12-17,701d,$116.65,$11.85 - $12.10,$11.85,40,$47K,49,26,1.88,98%,"1,738",28.13,0.4346,-0.013,0.0086,0.6376,0.7492,11.85,Consumer Defensive,Discount Stores,35,,135 call 2027-12-17
WMT_01.15_122call2026-01-16.txt,2026-01-12,23:03:53,WMT,BID,110,call,2026-01-30,15d,$117.09,$7.20 - $8.20,$7.61,100,$76K,100,77,1.30,100%,"8,596",26.85,0.8596,-0.0436,0.0319,0.058,0.0459,7.61,Consumer Defensive,Discount Stores,35,,110 call 2026-01-30
WMT_01.15_122call2026-01-16.txt,2026-01-10,02:48:13,WMT,ASK,116,put,2026-01-23,8d,$114.23,$2.87 - $2.88,$2.88,378,$109K,489,89,5.49,78%,"-24,169",20.75,-0.6394,-0.0618,0.0806,0.0837,-0.0291,2.88,Consumer Defensive,Discount Stores,35,Repeated Hits Ascending Fill,116 put 2026-01-23
WMT_01.15_122call2026-01-16.txt,2026-01-10,02:20:19,WMT,BID,113,call,2026-02-13,29d,$114.33,$3.90 - $4.45,$4.14,200,$83K,211,144,1.47,95%,"11,548",24.38,0.5774,-0.0486,0.0454,0.1386,0.0593,4.14,Consumer Defensive,Discount Stores,35,,113 call 2026-02-13
WMT_01.15_122call2026-01-16.txt,2026-01-10,02:03:43,WMT,BID,116,call,2026-02-13,29d,$114.60,$2.43 - $2.78,$2.56,500,$128K,510,23,22.17,99%,"22,271",22.50,0.4454,-0.0453,0.0495,0.1402,0.0465,2.56,Consumer Defensive,Discount Stores,35,,116 call 2026-02-13
WMT_01.15_122call2026-01-16.txt,2026-01-10,01:31:08,WMT,BID,117,call,2026-02-13,29d,$114.85,$2.22 - $2.30,$2.25,166,$37K,174,21,8.29,96%,"6,785",22.38,0.4087,-0.0444,0.0488,0.1381,0.0429,2.25,Consumer Defensive,Discount Stores,35,,117 call 2026-02-13
WMT_01.15_122call2026-01-16.txt,2026-01-10,01:13:02,WMT,BID,60,call,2026-02-13,29d,$114.86,$52.95 - $56.90,$54.89,21,$115K,21,0,-,100%,"2,095",76.69,0.9978,-0.003,0.0002,0.0024,0.0573,54.89,Consumer Defensive,Discount Stores,35,,60 call 2026-02-13
WMT_01.15_122call2026-01-16.txt,2026-01-09,23:15:48,WMT,BID,117,put,2026-01-30,15d,$114.68,$3.70 - $3.80,$3.70,200,$74K,300,19,15.79,67%,"-12,842",21.35,-0.6421,-0.052,0.0636,0.1027,-0.0445,3.70,Consumer Defensive,Discount Stores,35,,117 put 2026-01-30
WMT_01.15_122call2026-01-16.txt,2026-01-09,22:41:50,WMT,BID,26.67,call,2026-01-16,1d,$113.67,$85.10 - $89.15,$87.11,10,$87K,10,3,3.33,100%,996,448.78,0.9959,-0.0612,0.0002,0.0019,0.005,87.11,Consumer Defensive,Discount Stores,35,,26.67 call 2026-01-16
WMT_01.15_122call2026-01-16.txt,2026-01-09,04:44:32,WMT,BID,108,put,2026-02-13,29d,$113.18,$1.20 - $1.54,$1.32,800,$106K,804,61,13.18,100%,"-20,153",23.73,-0.2519,-0.0372,0.0378,0.1134,-0.0294,1.32,Consumer Defensive,Discount Stores,35,,108 put 2026-02-13
WMT_01.15_122call2026-01-16.txt,2026-01-09,00:40:05,WMT,BID,109,put,2026-01-16,1d,$112.42,$0.64 - $0.68,$0.64,"1,000",$64K,"1,173",593,1.98,97%,"-22,680",28.68,-0.2268,-0.0898,0.0631,0.0501,-0.0057,0.64,Consumer Defensive,Discount Stores,35,,109 put 2026-01-16
WMT_01.15_122call2026-01-16.txt,2026-01-08,22:47:25,WMT,ASK,112,call,2026-01-23,8d,$110.65,$1.69 - $1.81,$1.78,"1,387",$247K,"1,436",186,7.72,98%,"58,507",26.58,0.4218,-0.0779,0.0656,0.0878,0.0184,1.78,Consumer Defensive,Discount Stores,35,Repeated Hits Ascending Fill,112 call 2026-01-23
WMT_01.15_122call2026-01-16.txt,2026-01-08,03:53:43,WMT,BID,145,call,2027-01-15,365d,$113.44,$3.20 - $3.50,$3.30,857,$283K,858,580,1.48,100%,"18,596",26.23,0.217,-0.012,0.0098,0.3368,0.2178,3.30,Consumer Defensive,Discount Stores,35,,145 call 2027-01-15
WMT_01.15_122call2026-01-16.txt,2026-01-06,00:49:25,WMT,BID,115,put,2026-01-30,15d,$113.59,$3.00 - $3.15,$3.03,100,$30K,102,56,1.82,99%,"-5,884",18.92,-0.5884,-0.0435,0.0692,0.1157,-0.0479,3.03,Consumer Defensive,Discount Stores,35,,115 put 2026-01-30
