原始文件: o4SpUiGZAWgqmBhBIJaiPKMlEA0AZY8BlAvAw~tplv-dy-aweme-images-v2_3000_3000_q75.jpeg
处理时间: 2026-01-18 17:26:13
文件类型: image_description
============================================================

这张图片是一张股票市场数据截图，主要展示了一组股票在某一天（可能是2024年1月16日）的“隔夜封单金额”情况。整体背景为黑色，文字以白色、红色和灰色为主，表格结构清晰，内容包括股票代码、名称、封单额以及涨幅百分比。

以下是图片中详细的内容描述：

---

### **整体布局**
- 图片为一个竖向排列的表格，共包含30行数据。
- 每行代表一只股票的信息。
- 表格分为四列：**代码、名称、封单额、涨幅%**。
- 顶部是表头，用白色字体标注各列名称。
- 在表格正中央，叠加了一个醒目的白色大字标题：“**0116隔夜封单金额**”，表明这是2024年1月16日的隔夜封单数据。

---

### **列内容详解**

#### **1. 代码（左侧第一列）**
- 列出每只股票的交易代码，例如：
  - 603056
  - 000550
  - 002112
  - 等等。

#### **2. 名称（第二列）**
- 对应股票的公司名称，例如：
  - 德邦股份
  - 保变电气
  - 三安科技
  - 天晟新材
  - 拓日新能
  - 动力新科
  - 华胜天成
  - 新联电子
  - 众信旅游
  - 三佳科技
  - 雪博普
  - 星华新材
  - 紫光国微
  - 五矿发展
  - 恒泰电气
  - 康强电子
  - 文科股份
  - 七彩化学
  - 新华百货
  - 欢瑞世纪
  - *ST和科
  - 旺成科技
  - 威帝股份
  - 慈星股份
  - 东亚药业
  - 江山欧派
  - 华源控股
  - 利群股份
  - 沃尔核材

> 注：部分股票名称前有“*”号，如“*ST和科”，表示该公司可能处于特别处理状态。

#### **3. 封单额（第三列）**
- 表示该股票在当日收盘后或次日开盘前的封单金额（即委托买入或卖出的金额）。
- 数值单位为“亿”或“万”，例如：
  - 51.4亿
  - 24.1亿
  - 11.9亿
  - 9.65亿
  - 8.86亿
  - 8.59亿
  - 6.96亿
  - 6.53亿
  - 4.25亿
  - 3.02亿
  - 2.94亿
  - 2.76亿
  - 2.08亿
  - 2.00亿
  - 1.16亿
  - 1.01亿
  - 8817万
  - 7990万
  - 6091万
  - 2872万
  - 2262万
  - 2128万
  - 1932万
  - 1377万
  - 1304万
  - 953.5万
  - 511.6万
  - 373.4万
  - 353.8万

> 注意：数值越大，说明市场对该股的关注度或资金流入越强。

#### **4. 涨幅%（第四列）**
- 表示该股票当日的涨跌幅，均为正值，说明所有股票均上涨。
- 涨幅范围从 **5.00%** 到 **30.00%** 不等。
- 具体数值如下：
  - 10.01%
  - 10.03%
  - 10.02%
  - 20.06%
  - 10.00%
  - 10.03%
  - 9.99%
  - 9.96%
  - 10.01%
  - 9.99%
  - 9.97%
  - 19.99%
  - 10.00%
  - 10.02%
  - 5.00%
  - 10.02%
  - 10.00%
  - 19.98%
  - 9.99%
  - 10.05%
  - 5.00%
  - 30.00%
  - 9.93%
  - 9.93%
  - 20.05%
  - 9.99%
  - 9.99%
  - 10.04%
  - 10.09%
  - 10.01%

> 最高涨幅为 **30.00%**（旺成科技），最低为 **5.00%**（*ST和科、五矿发展）。

---

### **特殊标记**
- 在“名称”列右侧，部分股票名称旁有一个红色字母 **R**，表示这些股票可能属于“**注册制**”或“**创业板/科创板**”等特定板块。
- “封单额”列中，数值通常以**红色**显示，突出其重要性。
- “涨幅%”列中，所有数字均为红色，表示全部上涨。

---

### **数据特点**
- **封单金额最大的股票**：德邦股份（51.4亿）
- **涨幅最高的股票**：旺成科技（30.00%）
- **封单金额最小的股票**：沃尔核材（353.8万）
- 所有股票涨幅均在 **5%以上**，说明当天市场整体表现强劲，多只股票涨停或接近涨停。

---

### **场景与用途**
- 这张图很可能是来自**股票分析软件**或**财经资讯平台**，用于展示当日市场热点股票的封单金额和涨幅。
- “隔夜封单”通常指在交易日结束后，投资者提前挂出的买单或卖单，反映市场对次日行情的预期。
- 投资者可据此判断哪些股票受到资金青睐，可能成为次日的强势股。

---

### **总结**
这是一张典型的**A股市场热点个股数据表**，展示了2024年1月16日（0116）期间30只股票的**封单金额**和**涨幅**信息。数据显示市场情绪高涨，多数股票大幅上涨，尤其是**旺成科技**涨幅高达30%，而**德邦股份**的封单金额最高，达到51.4亿元，显示出强烈的资金关注。
