ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,limit,name,industry
000811.SZ,20251208,16.02,16.2,16.02,16.2,14.73,1.47,9.9796,924694.87,1496922.484,2,冰轮环境,工程机械
000901.SZ,20251208,22.92,23.35,22.76,23.35,21.23,2.12,9.9859,408050.66,944279.609,2,航天科技,汽车配件
000905.SZ,20251208,12.0,13.2,11.9,13.2,12.0,1.2,10.0,1085348.59,1355139.736,2,厦门港务,港口
001360.SZ,20251208,20.2,20.72,19.2,20.72,18.84,1.88,9.9788,249685.51,502681.103,2,南矿集团,工程机械
002149.SZ,20251208,22.57,22.57,22.57,22.57,20.52,2.05,9.9903,81373.52,183660.035,2,西部材料,小金属
002295.SZ,20251208,12.51,13.63,12.2,13.63,12.39,1.24,10.0081,438566.13,559768.192,2,精艺股份,铜
002565.SZ,20251208,13.09,13.09,12.88,13.09,11.9,1.19,10.0,1164168.95,1522210.634,2,顺灏股份,造纸
002578.SZ,20251208,4.95,5.46,4.84,5.46,4.96,0.5,10.0806,2551414.36,1278891.859,2,闽发铝业,铝
002679.SZ,20251208,15.8,16.06,15.8,16.06,14.6,1.46,10.0,170256.4,273000.308,2,福建金森,林业
002752.SZ,20251208,7.22,7.91,7.09,7.91,7.19,0.72,10.0139,459413.11,351496.638,2,昇兴股份,广告包装
002961.SZ,20251208,29.38,29.38,29.38,29.38,26.71,2.67,9.9963,67576.59,198540.021,2,瑞达期货,多元金融
002977.SZ,20251208,43.4,44.41,42.0,44.41,40.37,4.04,10.0074,197713.58,864958.071,2,天箭科技,通信设备
600343.SH,20251208,29.92,31.04,29.18,31.04,28.22,2.82,9.9929,1271072.33,3898877.171,2,航天动力,机械基件
600693.SH,20251208,10.45,11.21,10.29,11.21,10.19,1.02,10.0098,895813.28,982142.331,2,东百集团,百货
600734.SH,20251208,6.13,6.7,6.11,6.7,6.09,0.61,10.0164,8360743.58,5437869.784,2,实达集团,软件服务
600973.SH,20251208,6.29,6.48,6.16,6.48,5.89,0.59,10.017,2009440.29,1293649.807,2,宝胜股份,电气设备
601106.SH,20251208,3.58,3.76,3.45,3.76,3.42,0.34,9.9415,3285125.6,1200538.589,2,中国一重,工程机械
603122.SH,20251208,29.16,29.18,28.6,29.18,26.53,2.65,9.9887,207825.2,605425.828,2,合富中国,医药商业
